# https://geo.as208914.net/ AS208914 geofeed (RFC8805)
# Contact: Tristan Gosselin-Hane <noc@as208914.net>
#
# Prefix,A2C,Region,City,Postal Code
#
# IPv6
# 2a10:4741:30::/44
2a10:4741:32::/48,CA,CA-ON,Toronto,
2a10:4741:33::/48,CA,CA-ON,Toronto,
2a10:4741:34::/48,CA,CA-QC,Montreal,
2a10:4741:35::/48,CA,CA-QC,Montreal,
2a10:4741:36::/48,CA,CA-QC,Montreal,
2a10:4741:37::/48,CA,CA-QC,Montreal,
# 2a0c:9a46:600::/40
2a0c:9a46:632::/48,CA,CA-ON,Toronto,
2a0c:9a46:633::/48,CA,CA-ON,Toronto,
2a0c:9a46:634::/48,CA,CA-QC,Montreal,
2a0c:9a46:635::/48,CA,CA-QC,Montreal,
2a0c:9a46:636::/48,CA,CA-QC,Montreal,
2a0c:9a46:637::/48,CA,CA-QC,Montreal,
